Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,Estimates Start After
Cabo Verde,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",781.608,913.719,979.508,"1,092.40","1,150.06","1,262.05","1,297.15","1,358.07","1,459.41","1,568.81","1,602.32","1,640.91","1,688.48","1,810.91","1,984.30","2,121.88","2,249.60","2,406.47","2,580.46","2,865.64","3,079.99","3,277.61","3,439.50","3,704.63","3,927.33","4,223.49","4,689.27","5,198.92","5,590.27","5,496.05","5,582.80","5,858.70","5,719.98","5,699.74","5,658.99","5,902.47","6,224.24","6,535.10","7,702.82","8,187.41","6,977.93","7,685.02","8,459.81","9,069.28","9,672.07","10,271.24","10,860.65","11,432.71",2018
Cambodia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,515.45,568.44,592.442,601.801,646.791,683.685,702.866,745.104,780.834,817.622,841.866,869.129,970.507,"1,064.18","1,157.67","1,229.72","1,336.98","1,490.06","1,713.43","1,927.88","2,151.67","2,307.25","2,298.49","2,438.02","2,635.94","2,912.07","3,109.92","3,271.87","3,500.58","3,816.85","4,101.00","4,467.44","4,833.97","4,715.50","5,009.00","5,582.96","6,081.05","6,551.37","7,031.56","7,557.47","8,130.41",2019
Cameroon,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,262.82","1,572.26","1,746.52","1,887.46","2,046.66","2,223.26","2,357.04","2,297.86","2,129.35","2,109.70","1,991.79","1,922.43","1,849.89","1,780.26","1,721.59","1,766.31","1,835.60","1,912.92","1,973.88","2,026.28","2,083.52","2,144.59","2,223.75","2,318.07","2,469.09","2,508.63","2,605.15","2,709.92","2,763.72","2,776.80","2,814.25","2,892.45","2,958.69","3,129.86","3,312.54","3,395.63","3,527.17","3,665.12","3,802.94","3,901.30","3,869.50","4,073.25","4,418.99","4,669.10","4,870.72","5,083.93","5,308.07","5,542.93",2019
Canada,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,798.15","13,197.48","13,404.94","14,149.52","15,380.23","16,465.96","16,990.44","17,893.03","19,085.27","19,947.67","20,415.09","20,403.32","20,805.61","21,615.65","22,823.79","23,682.38","24,252.19","25,469.84","26,532.35","28,068.77","29,914.73","30,810.53","31,887.84","32,794.35","34,390.02","36,260.72","37,980.68","39,428.17","40,159.09","38,788.00","40,017.58","41,716.38","42,351.12","44,360.37","45,811.99","44,702.52","46,554.08","48,688.11","50,531.58","51,652.56","48,946.83","52,973.02","57,827.45","59,872.25","61,274.72","63,042.59","64,649.37","66,221.65",2021
Central African Republic,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",441.208,529.467,528.773,503.97,560.464,583.805,617.149,619.378,639.524,676.138,696.067,697.863,662.79,654.421,734.686,756.109,706.455,731.875,748.784,765.634,740.669,763.326,778.158,763.032,769.901,803.431,852.274,894.005,917.488,931.276,967.148,"1,012.66","1,102.13",738.466,720.351,787.043,851.014,912.808,955.757,985.073,988.795,"1,020.98","1,088.29","1,137.63","1,180.51","1,222.06","1,265.06","1,308.76",2004
Chad,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",411.47,393.159,430.079,504.692,536.488,581.001,609.883,627.947,677.025,694.411,719.862,795.757,807.185,783.637,817.312,800.923,805.181,836.247,873.418,848.713,829.199,911.556,966.379,"1,087.75","1,437.25","1,547.92","1,550.73","1,589.86","1,615.33","1,637.90","1,821.22","1,799.70","1,735.75","1,574.01","1,684.14","1,820.08","1,682.04","1,600.06","1,626.93","1,662.29","1,598.04","1,598.32","1,718.58","1,789.07","1,836.12","1,881.87","1,932.22","1,983.85",2017
Chile,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,411.86","3,901.84","3,522.45","3,501.53","3,781.60","3,916.95","4,145.68","4,449.99","4,859.17","5,492.47","5,810.69","6,356.60","7,059.58","7,589.30","8,020.50","8,785.67","9,396.38","10,126.44","10,534.91","10,516.94","11,158.91","11,635.45","12,060.71","12,744.81","13,814.30","14,932.21","16,160.99","17,277.39","18,082.85","17,795.86","18,857.63","20,224.19","21,455.39","22,299.82","22,651.01","22,552.48","22,649.92","23,656.46","24,731.73","24,917.41","23,260.18","26,708.56","28,887.50","29,351.37","30,279.94","31,277.62","32,337.93","33,491.82",2020
China,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",306.733,348.055,396.553,450.585,530.856,612.806,668.43,752.552,852.879,909.8,966.575,"1,078.15","1,245.66","1,435.68","1,638.95","1,837.38","2,035.34","2,239.26","2,420.14","2,621.21","2,885.74","3,174.09","3,494.75","3,897.38","4,380.97","5,003.41","5,782.76","6,750.18","7,501.33","8,222.38","9,160.17","10,180.91","11,136.87","11,905.09","12,496.32","12,926.23","13,432.04","14,151.79","15,409.71","16,563.77","17,114.71","19,259.59","21,290.89","23,038.34","24,599.28","26,248.00","28,022.06","29,943.82",2020
Colombia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,840.64","3,110.90","3,262.85","3,371.19","3,534.89","3,785.59","4,003.66","4,234.27","4,468.16","4,704.32","4,987.77","5,171.33","5,411.21","5,746.11","6,061.39","6,401.54","6,546.21","6,798.29","6,808.16","6,530.54","6,772.16","6,951.56","7,146.51","7,479.01","7,990.24","8,523.85","9,266.27","10,041.63","10,453.73","10,524.84","11,009.48","11,893.03","12,305.53","13,024.88","13,627.07","13,611.46","14,351.74","14,763.88","15,234.56","15,632.92","14,421.04","16,403.49","18,693.14","19,572.98","20,332.21","21,168.05","22,078.59","23,035.36",2021
Comoros,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",912.249,"1,027.46","1,108.24","1,160.00","1,239.61","1,274.95","1,287.60","1,306.25","1,376.79","1,373.90","1,488.16","1,491.61","1,603.27","1,647.39","1,581.47","1,669.97","1,656.35","1,722.38","1,705.68","1,739.77","1,725.24","1,821.35","1,894.76","1,929.15","1,993.56","2,121.34","2,093.79","2,113.37","2,182.53","2,209.68","2,260.85","2,341.01","2,510.02","2,628.37","2,700.60","2,684.32","2,826.35","2,980.06","3,078.49","3,104.51","3,049.20","3,162.10","3,364.33","3,472.52","3,551.56","3,634.98","3,725.24","3,816.78",2015
Democratic Republic of the Congo,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",806.951,863.154,883.178,900.972,947.446,950.572,983.044,"1,001.23","1,008.08","1,001.37",939.599,860.929,758.321,646.094,597.238,606.662,589.085,526.637,501.889,480.008,437.811,425.861,431.949,450.626,478.328,507.028,533.025,563.147,590.204,591.464,620.764,655.852,657.466,741.084,837.168,893.471,951.455,"1,046.71","1,098.04","1,129.70","1,126.22","1,206.04","1,327.83","1,421.28","1,502.90","1,588.08","1,674.89","1,756.86",2020
Republic of Congo,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,926.29","2,098.83","2,213.89","2,285.09","2,351.22","2,408.43","2,439.19","2,481.10","3,037.54","3,602.23","3,661.23","3,798.12","3,948.37","3,995.24","3,925.26","4,064.84","4,179.47","4,106.20","4,413.70","4,206.14","4,689.71","4,452.79","4,455.35","4,452.80","4,452.02","4,892.28","5,313.17","4,971.56","5,255.06","5,760.20","6,252.07","6,363.66","7,436.64","7,123.20","6,959.39","5,444.90","4,484.13","4,986.53","4,739.73","4,686.56","4,250.88","4,295.37","4,682.25","4,948.15","5,288.53","5,337.26","5,322.49","5,470.12",2019
Costa Rica,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,560.09","3,696.22","3,532.79","3,668.99","3,990.22","4,024.53","4,206.26","4,391.33","4,577.53","4,898.09","5,137.37","5,307.59","5,798.78","6,194.99","6,421.80","6,637.54","6,668.09","6,974.73","7,375.40","7,610.41","8,142.24","8,304.23","8,572.13","8,975.94","9,473.05","10,005.79","10,906.20","11,948.70","12,570.36","12,357.35","12,931.53","13,605.86","14,367.70","15,034.64","16,076.63","17,079.78","18,503.17","19,711.65","20,479.98","21,127.11","20,303.40","22,561.75","24,836.58","26,201.19","27,289.79","28,408.69","29,616.91","30,858.33",2021
Cфte d'Ivoire,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,585.26","2,863.51","2,932.92","2,827.80","2,793.17","2,873.99","2,956.47","2,901.97","3,010.47","3,094.96","3,051.14","3,033.92","2,978.04","2,769.55","2,751.12","2,881.59","3,085.59","3,234.33","3,345.03","3,359.68","3,279.47","3,272.34","3,185.11","3,122.63","3,163.69","3,234.96","3,299.54","3,361.13","3,423.67","3,467.50","3,489.26","3,302.87","3,562.75","3,833.79","4,236.55","4,557.77","4,628.93","4,729.65","5,045.13","5,317.16","5,347.18","5,808.21","6,397.00","6,873.52","7,291.34","7,701.92","8,116.29","8,547.51",2015
Croatia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"8,282.65","7,978.86","8,820.66","9,757.09","10,423.00","11,114.42","11,629.38","11,546.95","12,735.07","13,669.61","14,670.17","15,782.72","16,870.98","18,129.40","19,607.22","21,131.19","21,944.69","20,500.86","20,535.53","21,012.89","21,395.42","22,079.54","22,327.13","23,305.37","25,210.66","27,129.36","28,841.68","30,551.85","28,534.24","32,878.75","37,549.80","40,484.51","42,796.30","44,811.02","46,756.78","48,706.97",2020
Cyprus,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,914.45","6,588.61","7,352.16","7,941.87","8,835.09","9,435.85","9,854.14","10,701.45","11,875.75","13,146.85","14,347.48","14,553.10","15,860.08","15,952.63","16,898.05","18,776.45","19,036.20","19,578.19","20,731.57","21,827.29","23,391.86","24,612.73","25,633.20","26,517.59","28,234.99","30,110.03","32,023.97","33,931.72","34,993.76","33,616.11","33,764.53","33,755.23","31,905.78","30,236.86","29,887.40","31,847.99","35,851.80","38,516.12","41,226.50","43,592.60","41,347.53","45,064.77","49,504.44","52,057.17","54,069.54","56,084.27","58,273.15","60,684.01",2021
Czech Republic,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"14,159.19","15,088.15","15,286.83","15,418.75","15,867.08","16,894.71","17,881.17","18,500.72","19,558.32","21,044.63","23,129.48","25,395.07","27,451.86","28,482.18","27,113.81","28,010.31","29,027.24","29,269.60","30,812.68","32,542.45","33,933.43","36,136.77","39,031.09","41,128.90","42,972.14","40,927.12","44,951.41","48,918.58","51,328.62","54,374.35","57,238.31","59,973.12","62,681.58",2021
Denmark,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,870.00","12,902.60","14,217.21","15,165.14","16,381.81","17,580.05","18,793.88","19,275.59","19,936.36","20,849.03","21,923.70","22,932.39","23,842.01","24,321.79","26,084.44","27,337.57","28,454.21","29,751.88","30,637.97","31,873.09","33,712.74","34,631.21","35,209.27","35,942.23","37,792.46","39,788.82","42,495.00","43,880.83","44,260.56","42,085.12","43,203.86","44,482.80","44,892.72","46,829.47","48,039.69","49,264.51","52,159.80","55,673.46","57,812.09","59,468.57","58,816.26","64,045.83","69,845.09","72,167.19","74,791.94","77,255.40","79,836.36","82,528.87",2021
Djibouti,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"2,723.77","2,764.11","2,623.87","2,627.07","2,555.85","2,453.88","2,401.63","2,361.37","2,395.86","2,407.08","2,452.66","2,523.50","2,610.94","2,712.81","2,842.02","3,027.38","3,220.97","3,426.92","3,456.12","3,589.08","3,868.77","3,958.00","4,103.95","4,289.03","4,563.38","4,695.10","4,904.98","5,180.59","5,482.01","5,532.68","5,954.35","6,513.86","6,989.98","7,468.59","7,961.81","8,497.50","9,076.36",2020
Dominica,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,"2,043.66","2,267.66","2,425.43","2,627.88","2,759.42","3,024.97","3,307.21","3,704.79","3,856.58","4,232.93","4,451.02","4,644.49","4,856.96","4,961.98","5,219.10","5,479.23","5,695.04","5,975.98","6,081.19","6,363.92","6,502.67","6,421.75","6,969.49","7,380.13","7,666.94","8,277.59","9,047.85","9,884.98","9,838.93","10,038.40","10,335.99","10,158.00","10,344.15","11,015.37","11,139.64","11,961.78","11,665.87","12,361.36","12,774.95","10,614.69","11,531.99","13,030.07","14,089.00","14,970.63","15,793.37","16,410.36","17,064.84",2011
Dominican Republic,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,429.27","2,710.84","2,860.55","3,038.10","3,112.31","3,068.06","3,162.35","3,482.74","3,597.51","3,818.55","3,672.37","3,766.77","4,207.79","4,541.01","4,677.03","4,962.82","5,270.02","5,745.67","6,102.36","6,457.72","6,811.55","7,039.75","7,371.69","7,316.32","7,607.87","8,480.45","9,435.46","10,292.68","10,703.59","10,757.55","11,672.26","12,157.89","12,207.74","12,818.36","13,859.07","15,186.04","16,625.85","17,301.38","18,772.59","19,896.19","18,619.73","21,582.57","24,119.55","25,874.37","27,497.36","29,153.53","30,923.20","32,810.35",2019
Ecuador,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,243.32","3,585.70","3,746.61","3,681.38","3,868.73","4,058.33","4,159.71","3,908.64","4,357.21","4,431.53","4,626.26","4,913.65","5,092.19","5,203.87","5,429.42","5,561.57","5,663.54","5,916.16","6,086.13","5,794.13","5,902.03","6,138.57","6,351.35","6,540.15","7,142.57","7,660.58","8,101.05","8,352.44","8,892.44","8,837.94","9,090.63","9,842.96","10,280.26","11,106.12","11,657.90","11,014.89","11,009.16","11,623.72","11,880.32","11,923.02","10,972.80","11,747.71","12,763.08","13,383.31","13,849.73","14,300.70","14,772.96","15,265.54",2020
Egypt,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,183.10","2,374.70","2,633.42","2,900.31","3,158.34","3,401.78","3,543.61","3,705.02","3,908.76","4,093.18","4,307.18","4,454.21","4,476.70","4,571.18","4,769.29","4,972.80","5,202.53","5,484.24","5,847.53","6,161.57","6,495.12","6,738.62","6,923.81","7,135.94","7,484.26","7,904.45","8,525.14","9,197.75","9,831.25","10,127.73","10,530.54","10,694.41","11,620.12","11,726.03","11,498.41","12,267.86","12,072.39","11,755.94","12,389.61","13,062.65","13,449.61","14,255.66","15,958.55","16,913.41","17,806.07","18,774.86","19,841.85","20,989.41",2021
El Salvador,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,136.99","2,180.52","2,152.36","2,257.54","2,355.71","2,425.79","2,454.30","2,547.36","2,649.46","2,736.55","2,925.30","3,027.99","3,268.98","3,493.37","3,687.34","3,896.20","3,956.86","4,110.57","4,229.28","4,346.24","4,461.86","4,572.07","4,688.94","4,830.31","4,979.47","5,249.98","5,621.67","5,855.58","6,069.02","5,955.49","6,127.96","6,465.81","6,541.22","6,877.15","7,233.19","7,597.69","8,038.62","8,454.05","8,819.79","9,148.80","8,459.95","9,668.08","10,576.06","11,089.11","11,439.63","11,803.08","12,203.24","12,620.83",2020
Equatorial Guinea,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",350.529,383.681,386.911,390.154,379.807,416.73,396.301,408.74,421.268,420.074,433.545,428.786,564.678,617.55,711.754,887.035,"1,328.76","3,224.77","3,912.02","4,816.51","9,957.14","15,644.86","18,246.30","20,431.35","26,215.80","28,002.18","29,388.54","33,238.32","38,108.99","37,128.65","32,710.74","34,023.85","37,302.87","34,530.77","33,482.87","23,902.97","20,353.11","22,449.90","20,794.71","19,326.67","18,114.95","17,686.96","19,433.23","18,916.73","16,448.99","15,864.52","14,976.35","14,690.65",2015
Eritrea,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,750.173,874.236,"1,089.91","1,145.87","1,278.09","1,403.47","1,439.95","1,442.70","1,262.07","1,354.45","1,356.36","1,284.29","1,279.37","1,302.24","1,287.95","1,306.26","1,049.45","1,163.16","1,284.31","1,625.49","1,669.21","1,506.53","1,991.68","1,589.08","1,700.79","1,537.45","1,758.71","1,835.46","1,822.18","1,923.01","2,078.44","2,174.64","2,242.86","2,307.98","2,376.56","2,448.28",2006
Estonia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"7,473.37","7,682.25","8,172.16","8,862.96","10,309.28","10,982.76","11,057.56","12,388.72","13,514.17","14,747.27","16,283.18","17,965.00","20,409.93","23,230.94","25,784.40","24,997.17","21,518.51","22,360.39","24,557.24","25,996.09","27,464.52","28,927.86","29,183.78","31,309.61","33,903.13","35,901.48","37,769.75","37,939.25","42,637.11","46,125.98","48,644.22","51,582.24","54,476.22","57,402.94","60,515.08",2021
Eswatini,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,780.33","2,012.99","2,094.34","2,090.43","2,143.58","2,177.06","2,544.38","2,772.53","2,987.29","3,291.33","3,642.00","3,727.90","3,837.25","3,955.70","4,046.41","4,240.84","4,395.87","4,524.69","4,650.40","4,809.63","4,958.73","5,076.83","5,332.76","5,598.03","5,903.33","6,396.46","6,927.52","7,365.56","7,513.32","7,624.23","7,951.05","8,239.45","8,450.02","8,901.07","8,997.31","9,023.53","8,932.24","8,650.84","8,978.42","9,294.10","9,161.38","10,185.31","11,053.99","11,529.27","11,892.71","12,255.74","12,646.98","13,054.31",2017
Ethiopia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",305.828,326.878,340.688,370.105,362.7,320.91,347.759,392.976,396.181,396.63,408.348,378.641,340.966,382.589,391.396,411.017,461.252,468.968,442.052,463.803,507.238,540.823,542.972,510.742,570.968,646.269,724.001,810.241,903.805,984.8,"1,084.92","1,214.29","1,314.85","1,408.01","1,680.73","1,861.84","2,134.42","2,321.44","2,519.66","2,752.47","2,907.85","3,136.87","3,433.96","3,685.47","3,933.14","4,210.84","4,518.22","4,850.02",2021
Fiji,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,696.42","3,054.20","3,125.68","3,034.17","3,388.57","3,311.72","3,568.25","3,379.99","3,616.15","4,196.13","4,568.55","4,558.72","4,907.72","5,114.01","5,446.68","5,661.18","5,995.02","5,908.93","6,009.60","6,577.19","6,564.99","6,792.29","7,069.15","7,215.91","7,755.90","7,841.09","8,180.62","8,269.85","8,471.76","8,366.43","8,679.44","9,055.82","9,659.87","10,378.82","11,357.91","12,400.56","12,563.27","13,316.59","14,076.46","14,166.31","11,834.00","11,631.25","13,943.67","15,344.99","16,461.39","17,566.67","18,576.91","19,500.10",2017
Finland,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,544.56","10,546.27","11,485.19","12,232.43","13,005.56","13,823.49","14,436.38","15,273.39","16,592.26","18,062.43","18,702.41","18,109.10","17,802.85","18,011.08","19,038.62","20,174.67","21,222.26","22,886.37","24,335.71","25,698.03","27,734.81","29,044.57","29,921.19","31,055.02","33,076.30","34,948.85","37,342.94","40,220.93","41,130.21","37,866.98","39,357.50","41,015.79","40,969.21","41,587.16","41,835.88","42,569.55","44,995.38","47,621.51","49,226.87","50,676.95","50,078.60","53,653.70","58,659.00","61,009.05","62,976.55","65,006.14","67,166.65","69,441.46",2021
France,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,761.01","11,839.60","12,806.84","13,397.20","14,037.12","14,660.12","15,225.78","15,926.71","17,157.29","18,536.61","19,680.08","20,471.65","21,150.78","21,407.81","22,305.37","23,212.93","23,882.33","24,784.79","25,884.70","27,021.43","28,594.19","29,598.80","30,199.46","30,840.11","32,260.21","33,594.46","35,292.76","36,871.84","37,432.14","36,428.32","37,358.42","38,789.62","39,036.96","40,951.51","41,576.11","42,289.11","44,421.74","46,369.70","48,189.98","49,782.00","46,267.36","51,322.29","56,199.90","58,420.55","60,406.56","62,469.83","64,531.70","66,540.84",2021
Gabon,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,862.35","9,112.30","9,855.25","10,221.21","10,869.89","11,608.59","11,344.07","9,622.76","10,088.80","11,841.72","12,639.34","13,433.62","12,912.14","13,414.61","13,863.26","14,495.55","14,923.00","15,659.91","15,987.25","14,402.54","14,099.00","14,367.36","14,261.98","14,430.09","14,617.92","14,592.95","14,396.29","15,263.75","15,246.61","14,445.67","14,967.24","15,762.73","15,487.11","15,234.60","15,499.57","14,834.21","14,490.23","15,302.64","15,585.92","16,266.79","15,946.60","16,643.03","18,088.44","19,198.28","20,095.04","20,995.96","21,955.97","22,980.03",2015
The Gambia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,204.52","1,123.56","1,389.23","1,575.77","1,448.98","1,488.46","1,493.25","1,511.23","1,528.63","1,592.26","1,677.33","1,701.96","1,701.84","1,708.90","1,629.63","1,667.07","1,696.04","1,673.84","1,747.97","1,828.42","1,912.40","2,003.56","1,906.77","2,012.62","2,143.36","2,092.57","2,080.86","2,137.13","2,246.64","2,341.08","2,435.16","2,215.75","2,199.79","2,121.49","2,027.03","2,066.86","2,068.74","2,072.65","2,209.62","2,319.23","2,292.17","2,416.69","2,639.80","2,812.80","2,968.26","3,106.43","3,226.93","3,353.39",2018
Georgia,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,710.05","1,862.16","2,172.85","2,533.10","2,715.40","2,894.76","3,073.93","3,358.93","3,639.66","4,148.42","4,538.77","5,157.12","5,860.42","6,802.66","7,147.12","6,964.01","7,541.57","8,322.29","9,798.67","10,609.67","11,583.41","12,100.14","12,854.71","13,595.58","14,581.96","15,607.87","14,754.23","16,905.99","19,788.50","21,379.20","23,040.31","24,775.36","26,656.46","28,693.99",2021
Germany,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,130.44","12,173.96","12,833.47","13,590.76","14,537.94","15,364.32","16,041.53","16,676.83","17,801.43","19,033.21","20,482.88","21,951.89","22,733.41","22,917.88","23,909.45","24,737.97","25,347.00","26,230.33","27,082.76","27,990.74","29,443.66","30,592.08","30,983.28","31,384.06","32,645.21","33,963.15","36,419.39","38,605.05","39,835.35","37,938.98","40,100.84","42,541.25","43,359.41","44,993.67","47,011.14","47,622.33","50,574.22","53,373.92","55,020.96","56,468.00","54,993.41","58,757.18","63,834.86","65,865.26","68,235.09","71,011.25","73,716.84","76,204.65",2021
Ghana,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,201.30","1,235.91","1,174.84","1,117.56","1,184.57","1,272.10","1,347.31","1,439.34","1,550.32","1,645.55","1,727.51","1,827.51","1,906.84","1,996.76","2,060.60","2,140.16","2,227.95","2,339.42","2,423.61","2,506.26","2,464.00","2,550.49","2,643.64","2,765.84","2,923.40","3,126.85","3,331.45","3,479.51","3,779.10","3,930.95","4,071.25","4,622.73","5,152.38","5,320.54","5,595.44","5,232.68","5,020.64","5,148.05","5,481.37","5,821.64","5,804.63","6,244.78","6,780.28","7,041.21","7,285.57","7,625.90","7,971.03","8,459.41",2021
Greece,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,784.91","9,352.57","9,760.83","9,969.05","10,481.75","11,031.96","11,278.36","11,255.52","12,115.01","13,013.50","13,416.81","14,089.47","14,378.80","14,395.60","14,912.91","15,477.28","16,131.62","17,079.58","17,837.18","18,549.73","19,662.59","20,819.64","21,868.07","23,532.42","25,329.97","26,210.06","28,455.75","30,095.92","30,501.35","29,287.13","27,953.50","25,628.81","24,818.16","25,895.90","26,541.28","26,676.00","27,489.18","28,518.16","29,761.28","30,887.69","28,456.56","32,229.82","36,465.54","38,607.64","40,441.46","42,111.45","43,782.83","45,420.89",2021
Grenada,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,157.92","2,352.85","2,530.41","2,634.46","2,767.04","2,980.63","3,256.89","3,668.01","3,959.84","4,322.38","4,703.61","4,925.04","4,960.40","4,924.25","5,064.58","5,234.74","5,524.89","5,863.68","6,600.24","7,132.13","7,632.58","7,616.55","7,970.75","8,865.89","9,015.23","10,500.68","10,364.74","11,270.37","11,565.21","10,835.70","10,864.69","11,116.74","11,163.80","11,887.34","13,042.04","14,151.89","15,025.68","16,217.50","17,239.72","17,579.61","15,273.45","16,704.79","18,436.30","19,671.24","20,761.79","21,767.87","22,757.78","23,727.50",2020
