Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,Estimates Start After
Bhutan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",301.912,317.384,325.479,343.169,346.705,349.039,382.259,447.284,496.565,483.64,514.626,446.274,442.838,470.84,484.426,569.737,594.213,654.919,701.797,716.174,758.308,767.831,813.421,950.504,"1,059.21","1,215.29","1,278.66","1,548.11","1,936.31","1,797.54","2,097.54","2,511.44","2,592.37","2,609.76","2,546.86","2,767.78","2,857.44","3,137.63","3,413.31","3,322.53","3,247.93","3,245.41","3,562.31","3,855.77","4,187.45","4,543.44","4,898.23","5,261.57",2021
Bolivia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",695.535,615.66,668.55,619.896,631.152,668.921,640.94,683.625,712.146,715.525,723.431,776.711,803.547,793.646,805.183,886.368,956.965,"1,006.10","1,057.72","1,010.58",994.617,949.383,904.851,908.203,968.545,"1,037.18","1,226.85","1,383.89","1,729.37","1,769.44","1,972.68","2,368.52","2,635.93","2,938.42","3,114.97","3,069.32","3,110.87","3,388.52","3,588.09","3,591.40","3,172.56","3,449.38","3,631.34","3,791.36","3,989.07","4,189.65","4,383.77","4,582.41",2017
Bosnia and Herzegovina,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,952.331,"1,225.46","1,415.10","1,540.51","1,480.62","1,540.27","1,785.29","2,254.45","2,699.05","2,903.60","3,306.79","4,073.01","4,984.54","4,711.12","4,633.86","5,089.85","4,773.16","5,141.57","5,252.94","4,607.67","4,816.26","5,159.99","5,773.37","5,787.06","5,721.46","6,712.17","6,818.40","7,081.53","7,598.23","8,078.22","8,592.53","9,127.68",2021
Botswana,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,281.65","1,110.88","1,130.20","1,204.32","1,153.42","1,035.55","1,354.24","2,046.75","2,563.56","2,761.86","2,939.88","2,857.36","2,868.71","2,810.53","2,945.13","3,241.83","3,245.04","3,228.00","3,033.18","3,350.85","3,457.84","3,260.58","3,165.09","4,306.45","4,994.99","5,465.34","5,402.85","5,633.94","5,601.71","5,179.67","6,359.64","7,497.57","6,818.89","6,919.46","7,406.85","6,380.27","6,982.95","7,303.67","7,556.09","7,247.45","6,348.81","7,337.47","7,347.74","7,462.96","7,865.43","8,242.27","8,718.72","9,225.46",2020
Brazil,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,229.88","1,382.55","1,446.23","1,134.93","1,105.85","1,719.52","1,955.07","2,087.45","2,289.42","3,087.93","3,106.12","2,677.84","2,523.74","2,787.16","3,495.24","4,851.99","5,204.57","5,321.14","5,123.55","3,501.44","3,772.05","3,177.94","2,856.03","3,089.14","3,660.02","4,819.87","5,921.18","7,390.65","8,878.36","8,649.58","11,333.02","13,295.90","12,424.95","12,358.34","12,175.68","8,846.48","8,757.30","9,978.09","9,194.15","8,914.17","6,840.66","7,563.56","8,857.47","9,571.81","10,173.09","10,665.20","11,145.97","11,570.51",2020
Brunei Darussalam,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,"21,606.06","14,434.37","16,435.76","15,165.48","16,557.04","19,281.89","20,018.76","20,523.31","20,275.64","21,188.87","24,707.31","24,275.82","23,167.88","17,164.10","18,099.14","20,473.28","18,646.04","19,037.81","20,975.54","24,759.51","29,459.70","34,869.24","36,678.27","42,529.70","31,287.34","35,437.25","47,092.35","47,776.37","44,865.24","41,947.49","31,353.78","27,322.00","28,237.87","30,666.62","29,312.82","26,467.80","32,573.33","42,939.40","41,713.01","42,046.65","42,711.77","43,499.66","44,913.59",2021
Bulgaria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,673.24","3,950.23","4,108.11","4,211.11","4,465.38","3,820.54","3,382.44","3,926.05","6,433.11","6,580.66","2,919.82",288.506,"1,183.16",649.649,"1,155.80","1,958.07","1,494.79","1,386.47","1,854.47","1,689.29","1,625.32","1,797.39","2,090.68","2,710.58","3,370.38","3,869.59","4,477.03","5,811.85","7,156.18","6,878.06","6,753.34","7,872.04","7,454.00","7,702.78","7,925.69","7,098.59","7,596.46","8,414.39","9,489.64","9,914.32","10,119.91","11,745.57","12,505.01","13,220.58","14,174.26","15,045.95","16,011.65","17,061.18",2020
Burkina Faso,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",349.672,297.167,270.123,240.72,209.724,225.945,288.783,327.429,352.095,342.864,395.875,389.6,406.069,376.711,220.468,265.238,280.453,258.109,287.604,300.311,255.082,267.099,294.457,374.534,418.187,458.187,473.475,535.125,643.334,623.497,648.365,751.041,758.48,787.481,793.051,653.393,688.061,734.737,813.468,786.929,831.013,887.282,824.884,831.309,869.049,911.335,957.364,998.806,2020
Burundi,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",232.381,234.94,241.083,247.995,218.999,247.644,253.424,231.932,211.184,213.175,207.113,207.674,187.243,162.572,157.474,167.177,142.588,157.054,141.755,133.412,130.225,127.349,116.392,108.066,122.381,148.71,164.575,170.174,195.79,208.78,231.549,247.097,250.118,255.319,273.133,304.243,281.062,291.859,271.289,261.294,259.906,273.956,292.619,307.87,325.508,344.384,360.611,376.414,2016
Cabo Verde,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",541.435,522.81,517.666,499.536,466.312,476.329,645.817,783.24,861.862,853.014,957.369,974.873,"1,062.47","1,046.27","1,180.49","1,378.16","1,385.77","1,322.34","1,376.76","1,541.83","1,399.09","1,387.33","1,501.55","1,935.48","2,188.00","2,298.40","2,571.82","3,110.45","3,636.13","3,416.22","3,312.04","3,672.58","3,388.88","3,557.87","3,532.99","2,996.36","3,082.16","3,239.07","3,963.62","3,947.49","3,359.76","3,748.98","3,600.22","3,708.27","3,964.39","4,243.69","4,522.24","4,793.46",2018
